School_Type,Location,Infrastructure,Teaching_Staff,Gender,Caste,Age,Standard,Socioeconomic_Status,Dropout_Status
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Rural,Good,Good,Female,General,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Male,SC,13,8,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,12,7,High,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,14,9,Low,Dropout
Government,Rural,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Urban,Excellent,Excellent,Female,OBC,14,9,High,Enrolled
Government,Rural,Basic,Good,Female,ST,12,7,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,12,7,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,OBC,10,5,Low,Dropout
Government,Semi-Urban,Good,Good,Male,SC,15,10,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,OBC,10,5,High,Enrolled
Private,Semi-Urban,Good,Good,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,11,6,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,General,15,10,High,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Rural,Good,Good,Male,OBC,12,7,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Female,OBC,15,10,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,13,8,Moderate,Enrolled
Government,Urban,Basic,Good,Female,OBC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,11,6,High,Enrolled
Government,Rural,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,Moderate,Enrolled
Private,Semi-Urban,Poor,Poor,Male,OBC,14,9,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,13,8,Low,Dropout
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,10,5,High,Enrolled
Private,Rural,Basic,Good,Female,ST,15,10,Moderate,Enrolled
Government,Rural,Poor,Poor,Male,SC,14,9,Low,Dropout
Government,Semi-Urban,Good,Good,Male,OBC,13,8,Low,Dropout
Private,Rural,Basic,Good,Female,ST,12,7,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,SC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,12,7,Low,Dropout
Private,Rural,Basic,Good,Female,General,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,12,7,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,General,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,ST,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Rural,Poor,Poor,Male,ST,13,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,SC,12,7,Low,Dropout
Private,Rural,Basic,Good,Female,OBC,11,6,High,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,High,Enrolled
Government,Rural,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,12,7,High,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,10,5,Low,Dropout
Private,Rural,Poor,Poor,Male,SC,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,Moderate,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Urban,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Male,SC,14,8,Low,Dropout
Private,Rural,Basic,Poor,Female,General,15,7,High,Enrolled
Government,Rural,Good,Excellent,Male,ST,13,9,Moderate,Dropout
Private,Semi-Urban,Basic,Good,Female,OBC,12,10,High,Enrolled
Government,Rural,Basic,Poor,Male,SC,16,8,Low,Dropout
Government,Semi-Urban,Good,Good,Female,ST,14,9,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,OBC,15,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,General,13,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,SC,14,7,High,Enrolled
Government,Rural,Basic,Poor,Male,OBC,15,8,Moderate,Dropout
Government,Semi-Urban,Good,Good,Female,General,16,10,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,14,8,High,Enrolled
Government,Semi-Urban,Good,Good,Female,OBC,15,9,Moderate,Dropout
Government,Rural,Basic,Excellent,Male,SC,13,7,Low,Dropout
Private,Rural,Basic,Poor,Female,ST,16,10,High,Enrolled
Government,Semi-Urban,Good,Good,Male,General,14,9,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,OBC,14,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,SC,15,9,High,Enrolled
Government,Urban,Basic,Poor,Male,General,13,8,Moderate,Dropout
Private,Semi-Urban,Good,Good,Female,OBC,14,7,High,Enrolled
Government,Rural,Basic,Poor,Male,ST,15,8,Moderate,Dropout
Government,Rural,Basic,Excellent,Female,General,16,10,Low,Dropout
Private,Rural,Basic,Poor,Male,SC,13,7,High,Enrolled
Government,Semi-Urban,Good,Good,Male,ST,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Female,OBC,15,9,Low,Dropout
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Private,Semi-Urban,Good,Good,Male,SC,14,8,High,Enrolled
Government,Rural,Basic,Poor,Male,OBC,15,9,Moderate,Dropout
Private,Semi-Urban,Good,Good,Female,ST,16,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Female,OBC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Male,General,15,9,Low,Dropout
Private,Semi-Urban,Good,Good,Female,SC,16,10,Low,Enrolled
Government,Rural,Basic,Excellent,Male,ST,14,8,Moderate,Dropout
Private,Semi-Urban,Good,Good,Female,OBC,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Male,General,16,10,Low,Dropout
Government,Rural,Basic,Excellent,Female,ST,14,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,SC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Moderate,Dropout
Government,Semi-Urban,Good,Good,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Poor,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Excellent,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,12,Low,Dropout
Government,Rural,Basic,Excellent,Male,ST,15,9,Low,Dropout
Private,Urban,Poor,Female,Male,OBC,12,12,High,Enrolled
Government,Semi-Urban,Poor,Male,Male,OBC,12,9,Low,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,10,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,9,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,9,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,9,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Low,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,12,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,Low,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Moderate,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,10,Low,Dropout
Private,Rural,Basic,Excellent,Male,OBC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,12,Low,Dropout
Private,Urban,Basic,Excellent,Male,SC,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Moderate,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,12,Low,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,12,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,12,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,OBC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Poor,Male,Male,OBC,12,12,Low,Dropout
Private,Urban,Basic,Excellent,Male,SC,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Rural,Basic,Poor,Male,General,15,9,Low,Dropout
Private,Semi-Urban,Good,Good,Female,SC,16,10,High,Enrolled
Government,Rural,Basic,Excellent,Male,ST,14,8,Moderate,Dropout
Private,Semi-Urban,Good,Good,Female,OBC,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Male,General,16,10,Low,Dropout
Government,Rural,Basic,Excellent,Female,ST,14,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,SC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Moderate,Dropout
Government,Semi-Urban,Good,Good,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Excellent,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,SC,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Male,ST,15,9,Low,Dropout
Private,Urban,Basic,Poor,Female,OBC,16,10,Moderate,Enrolled
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,SC,14,8,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,OBC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Male,SC,15,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Moderate,Dropout
Private,Urban,Basic,Excellent,Male,OBC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Male,SC,15,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,Low,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,High,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,OBC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Male,SC,15,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Rural,Basic,Poor,Male,General,15,9,Low,Dropout
Private,Semi-Urban,Good,Good,Female,SC,16,10,High,Enrolled
Government,Rural,Basic,Excellent,Male,ST,14,8,Moderate,Dropout
Private,Semi-Urban,Good,Good,Female,OBC,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Male,General,16,10,Low,Dropout
Government,Urban,Basic,Excellent,Female,ST,14,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,SC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Moderate,Dropout
Government,Semi-Urban,Good,Good,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Poor,Male,ST,15,9,Low,Enrolled
Government,Rural,Basic,Excellent,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,SC,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Male,ST,15,9,Low,Dropout
Private,Rural,Basic,Poor,Female,OBC,16,10,Moderate,Enrolled
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Moderate,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,SC,14,8,Moderate,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Moderate,Dropout
Private,Urban,Basic,Excellent,Male,OBC,15,9,Low,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Male,SC,15,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,Low,Enrolled
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Moderate,Dropout
Private,Urban,Basic,Excellent,Male,OBC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Male,SC,15,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Moderate,Dropout
Private,Rural,Basic,Excellent,Male,OBC,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,General,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,ST,14,8,Low,Dropout
Government,Rural,Basic,Excellent,Male,SC,15,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Moderate,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,OBC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,General,14,8,Low,Dropout
Private,Rural,Basic,Excellent,Male,ST,15,9,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,SC,16,10,Low,Dropout
Government,Semi-Urban,Basic,Poor,Male,OBC,14,8,Low,Dropout
Private,Urban,Basic,Excellent,Male,General,15,9,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,16,10,Moderate,Dropout
